Season,Short Conference Name,Adjusted Tempo,Adjusted Tempo Rank,Raw Tempo,Raw Tempo Rank,Adjusted Offensive Efficiency,Adjusted Offensive Efficiency Rank,Raw Offensive Efficiency,Raw Offensive Efficiency Rank,Adjusted Defensive Efficiency,Adjusted Defensive Efficiency Rank,Raw Defensive Efficiency,Raw Defensive Efficiency Rank,Avg Possession Length (Offense),Avg Possession Length (Offense) Rank,Avg Possession Length (Defense),Avg Possession Length (Defense) Rank,eFGPct,RankeFGPct,TOPct,RankTOPct,ORPct,RankORPct,FTRate,RankFTRate,OffFT,RankOffFT,Off2PtFG,RankOff2PtFG,Off3PtFG,RankOff3PtFG,DefFT,RankDefFT,Def2PtFG,RankDef2PtFG,Def3PtFG,RankDef3PtFG,Tempo,RankTempo,AdjTempo,RankAdjTempo,OE,RankOE,AdjOE,RankAdjOE,DE,RankDE,AdjDE,RankAdjDE,AdjEM,RankAdjEM,FG2Pct,RankFG2Pct,FG3Pct,RankFG3Pct,FTPct,RankFTPct,BlockPct,RankBlockPct,OppFG2Pct,RankOppFG2Pct,OppFG3Pct,RankOppFG3Pct,OppFTPct,RankOppFTPct,OppBlockPct,RankOppBlockPct,FG3Rate,RankFG3Rate,OppFG3Rate,RankOppFG3Rate,ARate,RankARate,OppARate,RankOppARate,StlRate,RankStlRate,OppStlRate,RankOppStlRate,DFP,NSTRate,RankNSTRate,OppNSTRate,RankOppNSTRate,AvgHeight,RankAvgHeight,CenterHeight,RankCenterHeight,PFHeight,RankPFHeight,SFHeight,RankSFHeight,SGHeight,RankSGHeight,PGHeight,RankPGHeight,EffectiveHeight,RankEffectiveHeight,Experience,RankExperience,Bench,BenchRank,CenterPts,RankCenterPts,PFPts,RankPFPts,SFPts,RankSFPts,SGPts,RankSGPts,PGPts,RankPGPts,CenterOR,RankCenterOR,PFOR,RankPFOR,SFOR,RankSFOR,SGOR,RankSGOR,PGOR,RankPGOR,CenterDR,RankCenterDR,PFDR,RankPFDR,SFDR,RankSFDR,SGDR,RankSGDR,PGDR,RankPGDR,Net Rating,Net Rating Rank,Mapped Conference Name,Mapped ESPN Team Name,Current Coach,Full Team Name,Since,Active Coaching Length,Active Coaching Length Index,Seed,Region,Post-Season Tournament,Post-Season Tournament Sorting Index,Vulnerable Top 2 Seed?,Tournament Winner?,Tournament Championship?,Final Four?,Top 12 in AP Top 25 During Week 6?
2025,ACC,65.7,266,66.6,256,128,3,124.3,1,89.8,4,93.1,3,17,98,19.1,364,57.36318408,5,14.40120157,19,35.1800554,35,32.08955224,202,17.9943101,241,45.30583215,309,36.69985775,59,16.95961995,297,50.26128266,153,32.77909739,124,66.5794,256,65.803,266,124.282,1,127.999,2,93.0646,3,89.847,4,38.1518,1,58.01457195,9,37.71929825,19,78.4496124,17,10.58244463,107,43.39622642,3,30.87248322,33,71.54308617,148,9.653916211,210,45.37313433,51,37.93279022,146,58.10397554,50,51.38339921,171,0.104254097,115,0.080399346,21,,6.361266952,51,7.288951716,211,79.76,1,2.7,10,1.44,41,1.44,31,2.68,2,4.53,1,2.07,11,1.95792,128,31.04,183,15.5,309,27.48,10,22.47,87,16.04,327,18.52,231,49.84,13,17.82,329,10.44,325,12.46,128,9.44,135,25.43,196,26.95,68,14.36,341,19.84,63,13.42,226,38.2,1,Atlantic Coast Conference (ACC),Duke,Jon Scheyer,Duke Blue Devils,202223,2 years,3,1,East,March Madness,1,No,No,No,No,Yes
2025,SEC,69.6,59,70.8,44,128.6,1,120.4,5,92.4,10,97.7,20,16.3,42,17.5,145,55.15122873,36,15.12424632,41,38.01169591,8,32.18336484,198,17.17530163,289,47.90631654,232,34.91838183,83,20.0702679,117,50.94422486,121,28.98550725,283,70.9277,43,69.5912,62,120.249,6,127.938,3,97.1962,18,92.1126,7,35.8258,2,56.53266332,26,35.57483731,83,71.07195301,225,12.43115657,45,45.63335956,10,29.56989247,7,70.30769231,84,8.458961474,97,43.57277883,75,36.92307692,112,52.64207378,142,45.75,37,0.109800319,78,0.088011151,87,,6.323131232,45,6.152235793,328,77.78,96,1.21,58,1.58,35,-0.65,273,-0.05,190,0.78,114,1.39,36,2.41815,62,28.28,266,18.09,219,17.67,259,19.14,199,23.48,69,21.58,135,41.04,82,33.04,60,9.16,340,6.22,319,10.47,109,30.48,61,24.15,148,13.88,346,15.84,199,15.59,129,36.2,5,Southeastern Conference (SEC),Florida,Todd Golden,Florida Gators,202223,2 years,3,1,West,March Madness,1,No,No,No,No,Yes
2025,B12,61.4,360,62.4,360,123.2,10,116.9,18,87.8,2,91.9,1,19.5,344,18.8,354,52.67633817,89,14.61930813,26,36.13518198,15,28.16408204,317,16.52794293,311,50.89179548,138,32.58026159,146,21.22736419,56,43.76257545,341,35.01006036,62,62.4183,360,61.5016,360,116.89,19,123.269,11,91.9137,1,87.8253,2,35.4439,3,49.00763359,268,39.76777939,4,74.06749556,112,15.8266129,6,43.85080645,4,30.89214381,35,70.92436975,122,6.564885496,7,34.46723362,296,43.08663224,308,44.43231441,331,55.02248876,265,0.12491181,28,0.077722904,15,,6.847017731,113,9.20646303,21,76.82,242,-1.39,304,0.2,144,-0.74,282,-0.21,207,0.24,166,-0.6,257,2.64574,40,29.83,221,15.24,314,18.66,217,19.18,198,21.57,131,25.35,49,46.22,23,26.63,168,9.12,341,13.43,108,4.6,334,26.46,161,20.71,268,17.52,231,23.31,11,11.99,300,35.4,6,Big 12 Conference,Houston,Kelvin Sampson,Houston Cougars,201415,10 years,11,1,Midwest,March Madness,1,No,No,No,No,No
2025,SEC,67.6,153,68.9,135,128.4,2,121,4,93.4,12,100.8,61,17.3,130,17.7,211,55.71147218,26,13.36891071,6,34.34433541,51,33.53028065,168,18.21467293,226,48.93386339,195,32.85146368,138,23.85720505,12,50.93600348,122,25.20679147,350,68.8568,135,67.6684,153,121.014,4,128.505,1,100.799,60,93.4663,12,35.0385,4,56.08947804,30,36.77184466,40,74.00881057,115,16.4516129,4,47.17741935,42,29.19818457,5,73.45844504,260,7.456503728,31,40.57114722,139,34.77117307,51,55.51020408,91,40.23136247,6,0.100814736,143,0.087664988,84,,4.602411883,2,7.320026519,206,78.43,27,1.11,67,0.55,110,1.44,30,2.02,12,1,86,0.83,75,2.80085,25,33.9,109,20.94,118,21.07,128,18.42,225,19.27,245,20.29,167,45.93,24,30.84,87,12.63,282,5.31,339,5.25,314,29.62,80,24.58,135,16.71,268,16.22,183,12.85,257,35,8,Southeastern Conference (SEC),Auburn,Bruce Pearl,Auburn Tigers,201415,10 years,11,1,South,March Madness,1,No,No,No,No,Yes
2025,SEC,63.6,346,65.5,308,120.3,18,114.1,40,89.1,3,96.3,12,18.2,263,18.7,351,52.79701652,85,16.07895834,104,35.9141791,19,34.62972829,129,19.56168831,142,47.07792208,261,33.36038961,118,19.29995139,157,46.57267866,290,34.12736996,87,65.397,312,63.6241,348,114.091,40,119.981,18,95.4042,10,88.5426,3,31.4386,5,54.00372439,69,34.12204234,159,74.15384615,111,16.14785992,5,46.59533074,29,27.62691854,1,73.24723247,247,9.217877095,163,42.78103356,89,45.17333333,341,59.95316159,30,46.70406732,56,0.106111858,102,0.088503776,91,,7.228580696,150,7.413928919,192,77.16,189,1.26,54,1.22,49,-0.38,238,0.68,95,-3.02,353,1.24,51,2.93079,14,25.19,311,17.17,240,19.58,182,27.79,13,15.75,335,19.66,192,34.7,207,33.37,54,7.84,350,15.76,57,8.27,184,28.43,105,24.27,145,17.41,234,16.63,164,13.2,242,31.2,29,Southeastern Conference (SEC),Tennessee,Rick Barnes,Tennessee Volunteers,201516,9 years,10,2,Midwest,March Madness,1,No,No,No,No,Yes
2025,SEC,74.9,1,76.3,1,126.5,4,118.7,9,96.6,32,106.1,176,14.9,4,16.5,12,56.34995296,15,16.65466242,150,34.71882641,40,40.12229539,25,20.31925507,101,45.36082474,304,34.31992019,103,19.94789728,124,52.92147376,57,27.13062895,328,76.2512,1,74.9404,1,118.725,9,126.598,4,106.121,176,96.6919,31,29.9064,6,59.66754156,4,34.99491353,115,71.62954279,209,10.08230453,129,48.7654321,93,30.79847909,30,70.43363995,92,12.24846894,344,46.23706491,41,35.11348465,58,54.09356725,115,43.71069182,21,0.078932049,321,0.101822344,234,,6.472428049,62,5.64364153,358,78.08,59,1.61,33,3.14,2,0.25,144,-0.5,255,-0.12,206,2.37,5,2.98715,9,38.5,34,15.83,300,19.18,200,18.67,217,21.19,146,25.09,53,29.44,292,28.82,126,26.7,28,9.97,212,5.01,322,27.25,144,29.59,24,19.81,156,11.89,336,11.4,320,29.9,47,Southeastern Conference (SEC),Alabama,Nate Oats,Alabama Crimson Tide,201920,5 years,6,2,East,March Madness,1,No,No,No,No,Yes
2025,B12,65.4,281,66.4,266,125.3,6,119.9,7,97.2,37,100,41,18,238,18,262,55.45545546,30,14.78659992,32,34.25760286,53,29.72972973,280,17.00374532,292,45.01872659,312,37.97752809,41,19.55156951,144,53.2735426,46,27.17488789,325,66.404,267,65.4879,281,119.883,7,125.335,6,100.015,41,97.2799,37,28.0555,7,54.33996383,63,37.89237668,17,76.43097643,45,8.116883117,246,48.21428571,71,31.711146,60,69.53748006,41,8.047016275,66,44.64464464,60,34.082397,32,58.3599574,47,44.97487437,31,0.096629756,180,0.091236468,123,,5.662953163,12,7.730380508,154,76.56,285,0.56,119,-1.11,321,-0.55,259,-0.78,277,-1.35,301,-0.28,212,2.6491,39,29.75,225,23.93,51,22.55,85,18.32,226,19.78,213,15.39,326,50.12,11,20.88,278,13.46,265,9.9,214,5.58,302,30.53,59,19.63,292,18.09,217,15.66,206,16.06,111,28.1,77,Big 12 Conference,Texas Tech,Grant McCasland,Texas Tech Red Raiders,202324,1 years,2,3,West,March Madness,1,No,No,No,No,No
2025,B10,67.7,144,69.2,108,118.1,27,112.5,58,90.6,5,96.8,16,17.3,132,17.5,149,51.15030675,151,16.61325136,146,35.32608696,31,37.83231084,47,22.41178751,26,54.67235363,44,22.91585886,356,20.54979721,85,49.57187922,188,29.87832357,247,69.2266,108,67.7809,144,112.538,58,118.056,29,96.7934,16,90.49,5,27.5664,8,53.57142857,87,30.78125,327,78.10810811,20,13.29170384,27,49.06333631,106,27.93931732,2,72.15189873,185,7.82674772,51,32.7198364,330,41.37029289,273,61.52993348,13,53.43709468,224,0.078923845,322,0.086336582,65,,7.979593172,248,8.546449517,63,77.94,78,1.98,20,1.46,38,-0.42,243,-0.22,209,0.88,97,1.72,21,1.60914,214,40.92,16,16.59,271,19.94,166,21.55,116,23.49,68,18.43,235,32.7,237,36.01,33,18.63,159,9.11,243,3.55,356,24.73,217,31.74,10,16.38,286,15.41,219,11.73,309,27.5,93,Big Ten Conference (Big 10),Michigan State,Tom Izzo,Michigan State Spartans,199596,29 years,30,2,South,March Madness,1,No,No,No,No,No
2025,WCC,70.2,46,70.5,53,123.6,9,121.2,3,96.3,29,97.5,18,15.6,14,18.4,337,55.71428571,25,13.21681851,4,32.68379097,95,30.85714286,250,18.15320042,232,56.45330535,17,25.39349423,326,17.9721497,249,50.30461271,151,31.7232376,159,70.5386,53,70.2431,47,121.239,3,123.611,9,97.5072,19,96.3216,28,27.2891,9,57.76664281,11,34.42389758,147,80.09259259,5,8.319185059,234,49.06621392,107,30.1863354,16,72.83950617,230,8.088761632,70,33.47619048,314,40.59505799,242,61.86844614,10,48.4774665,94,0.1066695,99,0.073521209,9,,5.864697602,22,7.56460995,175,77.31,161,0.53,126,0.87,77,0.31,138,-0.27,216,-0.9,269,0.7,84,2.98306,10,31.73,168,26.62,16,25.44,29,14,337,19.22,247,14.65,337,39.39,101,39.5,13,10.15,330,6.73,308,4.16,347,23.52,252,33.57,3,17.29,242,13.31,304,12.24,290,27.3,100,West Coast Conference (WCC),Gonzaga,Mark Few,Gonzaga Bulldogs,199900,25 years,26,8,Midwest,March Madness,1,No,No,No,No,Yes
2025,B12,68.6,102,69.5,95,119.4,20,113.8,41,92.4,9,96.5,14,16.5,53,18,288,54.5620438,50,16.88733718,162,32.16981132,110,38.47758081,40,21.07843137,73,50.30165913,158,28.6199095,260,18.25467498,234,47.55120214,265,34.19412289,81,69.4841,95,68.6373,102,113.82,41,119.483,20,96.4765,14,92.4824,10,27.0002,10,55.07844756,46,35.78500707,68,75.74525745,59,10.23131673,119,47.5088968,51,33.20363165,134,74.95429616,314,9.331131296,178,36.86131387,234,40.68601583,247,53.91304348,118,55.3164557,271,0.1327783,13,0.10484759,262,,6.402578219,54,8.5510944,62,78,68,0.93,86,1.5,36,0.29,139,0.68,95,0.58,136,1.21,52,2.81471,24,29.94,214,19.31,176,21.64,103,14.59,327,24.66,41,19.77,189,45.61,28,19.09,307,15.59,225,7.63,283,12.04,74,24.25,231,25.89,89,19.52,165,18.47,95,11.84,304,27,107,Big 12 Conference,Iowa State,T. J. Otzelberger,Iowa State Cyclones,202122,3 years,4,3,South,March Madness,1,No,No,No,No,Yes
