School,Conference,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
UCLA,Pac-12,16,,,•,RU,F4,F4,32,,32,,•,16,16,,16,ƒ,,,F4,16,16,
Kentucky,SEC,16,E8,32,E8,32,32,•,N,E8,F4,CH,N,RU,F4,32,E8,16,E8,,,•,32,•
North Carolina,ACC,,N,32,CH,32,E8,F4,CH,N,E8,E8,32,32,16,RU,CH,32,16,,•,RU,,16
UConn,Big East,E8,16,CH,32,E8,,•,F4,N,CH,•,,CH,N,32,,,,,•,•,CH,CH
Duke,ACC,16,16,F4,16,16,•,32,16,CH,16,•,E8,•,CH,16,32,E8,E8,,,F4,32,E8
Indiana,Big Ten,RU,32,,N,32,32,•,,,,16,16,,•,16,N,,N,,,•,32,
Kansas,Big 12,F4,RU,E8,•,•,E8,CH,16,32,E8,RU,16,32,32,E8,E8,F4,32,,32,CH,32,32
Villanova,Big East,N,N,N,16,E8,•,16,F4,32,•,,•,32,32,CH,32,CH,32,,16,F4,N,N
Michigan State,Big Ten,•,E8,•,F4,•,32,16,RU,F4,•,16,16,E8,F4,•,32,32,F4,,ƒ,32,16,32
Oklahoma State,Big 12,•,32,F4,16,N,N,N,32,•,N,,•,•,•,,•,N,,,32,,N,
Cincinnati,Big 12,32,•,32,32,N,,,,N,32,16,•,•,32,•,32,32,•,,,,N,N
Florida,SEC,•,32,•,32,CH,CH,N,N,•,E8,E8,E8,F4,,N,E8,32,32,,32,N,N,•
Louisville,ACC,N,32,•,F4,N,32,E8,E8,•,•,F4,CH,16,E8,,32,N,•,,,,,
NC State,ACC,32,•,32,16,32,N,,,N,,16,•,•,16,,,•,N,,N,,•,F4
San Francisco,West Coast,,,,N,,,,,,,,,N,,,,,,,,•,,N
Ohio State,Big Ten,32,N,,,32,RU,N,•,16,16,F4,E8,•,32,N,,32,32,,•,32,,N
Michigan,Big Ten,,,N,,N,N,,32,,32,•,RU,E8,,•,16,RU,16,,E8,16,N,
Georgetown,Big East,,N,,N,16,F4,32,N,•,•,32,•,N,32,,,,N,,•,,,
Syracuse,ACC,N,CH,16,•,•,N,N,16,16,32,E8,F4,32,,F4,N,16,•,,16,,,
Arkansas,SEC,,,,,•,•,32,,,,,,N,32,,32,•,N,,E8,E8,16,
Arizona,Pac-12,16,E8,•,E8,32,•,•,16,,E8,N,16,E8,E8,•,16,•,,,,16,•,16
Utah,Pac-12,•,32,•,16,,,,•,,,,,N,16,32,N,N,,,,,,N
Wisconsin,Big Ten,32,16,32,E8,•,32,16,32,32,16,16,•,F4,RU,16,16,,•,,32,32,N,•
Marquette,Big East,•,F4,N,N,•,•,32,32,•,16,16,E8,,,,•,N,•,,,•,32,16
Baylor,Big 12,,,,,,,•,N,E8,,E8,N,16,•,•,16,N,32,,CH,32,32,32
California,Pac-12,32,32,,,•,,N,•,32,N,ƒ,32,N,,•,N,,,,,,,
La Salle,Atlantic 10,,,,,,,,,,,N,16,,,,,,,,,,,
UNLV,Mountain West,N,N,N,N,,16,32,N,•,•,•,•,,,,,,,,,,,N
Virginia,ACC,N,N,N,,N,32,,,,,•,N,16,32,E8,32,•,CH,,•,N,•,ƒ
Oregon,Pac-12,E8,•,N,,,E8,•,,,,N,16,32,32,E8,F4,N,16,,16,N,N,32
Maryland,Big Ten,CH,16,32,N,N,32,N,32,32,,,N,,32,16,•,,32,,32,,32,
Holy Cross,Patriot,•,•,,N,,•,,,,,,,,,•,,,,,,,,
Stanford,Pac-12,32,32,32,•,N,•,16,,,,N,N,16,N,,,N,,,,,,
Loyola Chicago,Atlantic 10,,,,,,,,,,,,,,,,,F4,N,,16,•,,N
CCNY,D3,,,,,,,,,,,,,,,,,,,,,,,
Wyoming,Mountain West,32,N,,,,,,,,,,,,•,,,,,,,ƒ,,
UTEP,CUSA,,,•,•,N,,,,•,N,,,,N,,,,,,,,,
Houston,Big 12,N,,,N,N,,,,•,,,,,,N,N,32,16,,F4,E8,16,16
Oklahoma,Big 12,F4,E8,N,32,•,,32,E8,,,,•,•,16,F4,,•,32,,32,N,,
Purdue,Big Ten,,32,N,,,32,32,16,16,32,32,,,•,•,16,16,E8,,•,16,•,RU
Gonzaga,West Coast,•,32,32,32,16,•,•,16,32,32,32,32,32,E8,16,RU,16,E8,,RU,16,E8,16
Dartmouth,Ivy League,,,,,,,,,,,,,,,,,,,,,,,
Bradley,Missouri Valley,,,,,16,N,,,,,,,,,,,,•,,,,N,N
Butler,Big East,N,16,,,N,16,32,•,RU,RU,,32,,32,32,16,32,N,,,,,N
Illinois,Big Ten,16,32,16,RU,32,•,,•,N,32,,32,N,N,,N,,,,32,32,•,E8
Kansas State,Big 12,,,,,,N,32,N,E8,32,32,•,•,,,•,E8,•,,,,E8,N
Iowa,Big Ten,N,N,N,•,•,,,,,,N,N,ƒ,32,32,N,,32,,32,•,•,N
St. John's,Big East,•,N,,,,,,,N,•,,N,N,•,,,,ƒ,,,,,
Georgia Tech,ACC,,N,RU,32,,•,,,32,,,,,,N,N,,,,•,,,
NYU,D3,,,,,,,,,,,,,,,,,,,,,,,
West Virginia,Big 12,,,N,E8,16,N,16,•,F4,32,•,,N,16,•,16,16,,,32,,•,
Memphis,American,N,•,32,N,E8,E8,RU,16,N,•,•,32,32,,,,,N,,N,32,•,
Dayton,Atlantic 10,N,•,•,,,,N,32,N,N,N,,E8,32,•,•,,N,,N,N,,32
Florida State,ACC,,,N,,N,N,N,•,•,16,32,N,N,,N,32,E8,16,,16,,,
Texas Tech,Big 12,•,N,32,16,,•,,,N,,,,,,•,,E8,RU,,32,16,,•
Seton Hall,Big East,,N,32,,•,,,,N,,N,,,,•,•,32,•,,,•,N,N
Seattle,WAC,,,,,,,,,,,,,,,,,,,,,,,
San Diego State,Mountain West,•,N,,,•,N,N,N,•,16,•,32,16,32,N,,•,,,•,•,RU,16
Washington State,Pac-12,,,,,,32,16,N,,N,,,,,,,,,,,N,N,32
Jacksonville,ASUN,,,,,,,,N,N,,,,,,,,,,,,,,
Indiana State,Missouri Valley,,,,,,,,,,•,,N,N,,,,,,,,,,N
LSU,SEC,N,•,N,•,F4,,,32,,,N,,N,•,,,N,16,,32,•,,N
Texas,Big 12,16,F4,16,•,E8,32,E8,32,•,32,•,,32,•,•,,•,N,,•,32,E8,32
Temple,American,N,N,N,N,N,,•,•,•,32,•,32,,N,•,,N,ƒ,,,,,
Oregon State,Pac-12,,,,N,,,,,,,,,,,•,,,,,E8,,,
Colorado,Pac-12,,•,N,,N,,,,,N,32,•,•,,•,N,,N,,32,N,N,32
Providence,Big East,,N,•,,,N,,N,,,,N,•,•,32,ƒ,•,N,,,16,•,N
USC,Pac-12,•,,,,,16,•,32,,ƒ,,,,,•,32,N,,,E8,•,•,
Wichita State,American,,N,N,N,16,,,,N,N,•,F4,32,16,32,32,•,N,,ƒ,,,
DePaul,Big East,,N,32,N,,N,,,,,,,,,,,,,,,,,
Notre Dame,ACC,32,16,N,N,N,•,32,N,•,32,•,•,,E8,E8,32,N,,,,32,,
Wake Forest,ACC,32,32,16,32,N,,,•,32,,,,,,,ƒ,,,,,N,,N
Santa Clara,West Coast,,,,,,,,,,,,,,,,,,,,,N,N,
Washington,Pac-12,,,•,16,16,,,32,16,32,N,N,,,N,,N,32,,,,,
Pittsburgh,ACC,16,16,16,•,32,16,32,E8,32,32,,•,32,N,•,,,,,,,32,
Penn,Ivy League,•,•,,•,•,•,,,,,,,,,,,•,,,,,,
Drake,Missouri Valley,,,,,,,•,,,,,,,,,,,,,•,,•,•
Alabama,SEC,32,•,E8,•,32,N,,,,N,•,N,,N,N,N,32,N,,16,•,16,F4
Iowa State,Big 12,,N,N,32,,,,,,,32,32,16,•,16,32,,•,,,16,•,16
SMU,American,,,,,,,,,,,,,N,•,,•,,,,N,N,,N
Auburn,SEC,,16,,,,,,N,,,,,,,,,32,F4,,,32,32,•
Miami (FL),ACC,•,,,N,N,,32,N,,N,N,16,,N,16,•,•,,,,E8,F4,
Penn State,Big Ten,,,,,N,,,N,,•,,,,,,,N,,,,,32,
Duquesne,Atlantic 10,,,,,,,,N,,,,,,,,,,,,,,,32
Princeton,Ivy League,N,,•,,,,,,,•,,,,,N,•,,,,,N,16,N
New Mexico State,CUSA,,,,,,•,,,•,,•,•,•,•,N,•,•,•,,,32,,
South Carolina,SEC,N,,•,N,N,,,N,,,,,,,N,F4,,,,,,,•
Mississippi State,SEC,32,•,32,32,,N,32,•,N,,N,,,,,,N,•,,N,N,ƒ,•
St. Bonaventure,Atlantic 10,N,,,,,,,,,,•,,,,N,,•,,,•,N,,
Georgia,SEC,32,,N,,,N,•,,,•,,,N,•,N,N,,,,,,,N
Rutgers,Big Ten,N,,N,,N,,,,,,,,,,,,,,,32,ƒ,N,
VCU,Atlantic 10,,,•,N,,32,N,•,,F4,32,32,•,•,32,•,,•,,•,N,•,N
Charlotte,American,•,,•,•,N,,N,,,,,N,,,,,,,,,,,
George Mason,Atlantic 10,N,,N,,F4,,•,N,,32,,,,,,,,,,,,,
Florida Atlantic,American,•,,,,,,,,,N,,,,,,,,,,,,F4,•
Missouri,SEC,E8,32,N,N,,,,E8,32,•,•,•,N,,,,•,,,•,,32,
Xavier,Big East,32,32,E8,,•,32,E8,16,16,•,16,,ƒ,16,32,E8,32,N,,,N,16,N
Saint Joseph's,Atlantic 10,N,•,E8,N,N,,•,,,,N,N,•,,32,,,,,,,,N
Boston College,ACC,•,N,32,32,16,32,,•,,N,,,,,,,N,,,,,,N
BYU,Big 12,N,•,•,,N,•,•,•,32,16,•,N,•,ƒ,N,N,N,,,•,N,,•
Arizona State,Pac-12,N,32,,N,,,N,32,N,,,N,•,N,,,ƒ,•,,,,•,
Davidson,Atlantic 10,•,,,N,•,•,E8,N,,,•,•,N,•,N,,•,N,,N,•,,
Navy,Patriot,,,,,,,,,,,,,,,,,,,,,,,
