,min,max,Round
Adjusted Tempo,51.9,77.3,Round 64
Adjusted Offensive Efficiency,90.5,129.0,Round 64
Adjusted Defensive Efficiency,84.1,115.1,Round 64
eFGPct,41.5842,61.0178117,Round 64
TOPct,12.3664,26.6993,Round 64
ORPct,17.73445,45.2567,Round 64
FTRate,21.2695405,55.4709,Round 64
OffFT,12.42050131,27.8152,Round 64
Off2PtFG,37.5927,64.0161,Round 64
Off3PtFG,11.7922,43.37115073,Round 64
DefFT,11.7045,29.1444,Round 64
Def2PtFG,39.08765653,65.8785,Round 64
Def3PtFG,17.4888,43.8754,Round 64
AdjOE,90.451,128.952,Round 64
AdjDE,84.103,115.062,Round 64
AdjEM,-15.207,36.9118,Round 64
FG2Pct,39.8305,63.89946687,Round 64
FG3Pct,25.7928,43.69369369,Round 64
FTPct,59.3443,82.99212598,Round 64
BlockPct,1.7257,21.00775194,Round 64
OppFG2Pct,37.6702,56.7104,Round 64
OppFG3Pct,26.35869565,40.6383,Round 64
OppBlockPct,4.3143,14.17253521,Round 64
FG3Rate,18.6339,53.54135711,Round 64
OppFG3Rate,20.8375,49.94612069,Round 64
ARate,37.93103448,72.1728,Round 64
OppARate,35.11363636,73.78277154,Round 64
StlRate,0.0542,0.1697,Round 64
