Game,Winner
Game 1 Winner,Alabama State
Game 2 Winner,San Diego State
Game 3 Winner,American University
Game 4 Winner,Texas
Game 5 Winner,Auburn
Game 6 Winner,Louisville
Game 7 Winner,Michigan
Game 8 Winner,Texas A&M
Game 9 Winner,Ole Miss
Game 10 Winner,Iowa State
Game 11 Winner,Marquette
Game 12 Winner,Michigan State
Game 13 Winner,Florida
Game 14 Winner,UConn
Game 15 Winner,Memphis
Game 16 Winner,Grand Canyon
Game 17 Winner,Missouri
Game 18 Winner,Texas Tech
Game 19 Winner,Arkansas
Game 20 Winner,St. John's
Game 21 Winner,Duke
Game 22 Winner,Mississippi State
Game 23 Winner,Liberty
Game 24 Winner,Arizona
Game 25 Winner,BYU
Game 26 Winner,Wisconsin
Game 28 Winner,American University
Game 29 Winner,Texas
Game 30 Winner,Louisville
Game 31 Winner,Ole Miss
Game 32 Winner,Marquette
Game 33 Winner,Michigan State
Game 34 Winner,UConn
Game 35 Winner,Grand Canyon
Game 36 Winner,Arkansas
Game 37 Winner,St. John's
Game 38 Winner,Liberty
Game 39 Winner,BYU
Game 41 Winner,American University
Game 42 Winner,Ole Miss
Game 43 Winner,Marquette
Game 44 Winner,Grand Canyon
Game 45 Winner,Arkansas
Game 46 Winner,Liberty
Game 48 Winner,Ole Miss
Game 49 Winner,Grand Canyon
Game 51 Winner,Grand Canyon
